id,value
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Steroid Hydroxylases.Sterol 14-Demethylase,D08.244.453.915.880
Enzymes and Coenzymes.Cytochromes.Cytochrome P-450 Enzyme System.Trans-Cinnamate 4-Monooxygenase,D08.244.453.957
Enzymes and Coenzymes.Cytochromes.Cytochromes f,D08.244.726
Enzymes and Coenzymes.Enzyme Precursors,D08.622
Enzymes and Coenzymes.Enzyme Precursors.Chymotrypsinogen,D08.622.184
Enzymes and Coenzymes.Enzyme Precursors.Complement Factor B,D08.622.200
Enzymes and Coenzymes.Enzyme Precursors.Factor IX,D08.622.355
Enzymes and Coenzymes.Enzyme Precursors.Factor VII,D08.622.432
Enzymes and Coenzymes.Enzyme Precursors.Pepsinogens,D08.622.509
Enzymes and Coenzymes.Enzyme Precursors.Pepsinogens.Pepsinogen A,D08.622.509.700
Enzymes and Coenzymes.Enzyme Precursors.Pepsinogens.Pepsinogen C,D08.622.509.725
Enzymes and Coenzymes.Enzyme Precursors.Plasminogen,D08.622.610
Enzymes and Coenzymes.Enzyme Precursors.Plasminogen.Angiostatins,D08.622.610.500
Enzymes and Coenzymes.Enzyme Precursors.Protein C,D08.622.705
Enzymes and Coenzymes.Enzyme Precursors.Prothrombin,D08.622.709
Enzymes and Coenzymes.Enzyme Precursors.Trypsinogen,D08.622.885
Enzymes and Coenzymes.Enzymes,D08.811
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes,D08.811.037
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ataxin-3,D08.811.037.250
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Deubiquitinating Enzyme CYLD,D08.811.037.375
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ubiquitin Thiolesterase,D08.811.037.500
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ubiquitin Thiolesterase.Ubiquitin-Specific Peptidase 7,D08.811.037.500.500
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ubiquitin-Specific Proteases,D08.811.037.750
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ubiquitin-Specific Proteases.COP9 Signalosome Complex,D08.811.037.750.250
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ubiquitin-Specific Proteases.Tumor Necrosis Factor alpha-Induced Protein 3,D08.811.037.750.500
Enzymes and Coenzymes.Enzymes.Deubiquitinating Enzymes.Ubiquitin-Specific Proteases.Ubiquitin-Specific Peptidase 7,D08.811.037.750.750
Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes,D08.811.074
Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.AlkB Enzymes,D08.811.074.062
"Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.AlkB Enzymes.AlkB Homolog 1, Histone H2a Dioxygenase",D08.811.074.062.500
"Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.AlkB Enzymes.AlkB Homolog 2, Alpha-Ketoglutarate-Dependent Dioxygenase",D08.811.074.062.750
"Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.AlkB Enzymes.AlkB Homolog 3, Alpha-Ketoglutarate-Dependent Dioxygenase",D08.811.074.062.875
"Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.AlkB Enzymes.AlkB Homolog 5, RNA Demethylase",D08.811.074.062.937
Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.AlkB Enzymes.Alpha-Ketoglutarate-Dependent Dioxygenase FTO,D08.811.074.062.968
Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.Deoxyribodipyrimidine Photo-Lyase,D08.811.074.124
Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.DNA Glycosylases,D08.811.074.249
Enzymes and Coenzymes.Enzymes.DNA Repair Enzymes.DNA Glycosylases.DNA-Formamidopyrimidine Glycosylase,D08.811.074.249.500
