id,value
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Codon.Codon, Terminator.Codon, Nonsense",D13.444.735.544.355.250.235
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Riboswitch",D13.444.735.544.427
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.RNA Caps",D13.444.735.544.500
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.RNA Caps.RNA Cap Analogs",D13.444.735.544.500.710
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.RNA, Messenger, Stored",D13.444.735.544.527
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.RNA Splice Sites",D13.444.735.544.550
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Untranslated Regions",D13.444.735.544.875
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Untranslated Regions.3' Untranslated Regions",D13.444.735.544.875.880
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Messenger.Untranslated Regions.5' Untranslated Regions",D13.444.735.544.875.885
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Neoplasm",D13.444.735.615
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Nuclear",D13.444.735.628
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Nuclear.RNA, Heterogeneous Nuclear",D13.444.735.628.806
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Nuclear.RNA, Small Nuclear",D13.444.735.628.818
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Nuclear.RNA, Small Nuclear.RNA, Small Nucleolar",D13.444.735.628.818.800
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Plant",D13.444.735.635
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Plant.RNA, Chloroplast",D13.444.735.635.575
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA Precursors",D13.444.735.640
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Protozoan",D13.444.735.650
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal",D13.444.735.686
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, 5S",D13.444.735.686.650
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, 5.8S",D13.444.735.686.660
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, 16S",D13.444.735.686.670
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, 18S",D13.444.735.686.675
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, 23S",D13.444.735.686.680
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, 28S",D13.444.735.686.690
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Ribosomal.RNA, Ribosomal, Self-Splicing",D13.444.735.686.845
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Satellite",D13.444.735.721
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Satellite.Cucumber Mosaic Virus Satellite",D13.444.735.721.250
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer",D13.444.735.757
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.Anticodon",D13.444.735.757.286
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific",D13.444.735.757.700
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Ala",D13.444.735.757.700.050
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Arg",D13.444.735.757.700.075
"Nucleic Acids, Nucleotides, and Nucleosides.Nucleic Acids.RNA.RNA, Transfer.RNA, Transfer, Amino Acid-Specific.RNA, Transfer, Asn",D13.444.735.757.700.085
