id,value
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Cellobiose,D09.698.629.305.200
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Isomaltose,D09.698.629.305.320
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Lactose,D09.698.629.305.340
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Lactulose,D09.698.629.305.423
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Maltose,D09.698.629.305.523
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Melibiose,D09.698.629.305.540
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Sucrose,D09.698.629.305.770
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Sucrose.Dietary Sucrose,D09.698.629.305.770.200
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Sucrose.Sucralfate,D09.698.629.305.770.850
Carbohydrates.Polysaccharides.Oligosaccharides.Disaccharides.Trehalose,D09.698.629.305.880
"Carbohydrates.Polysaccharides.Oligosaccharides.Oligosaccharides, Branched-Chain",D09.698.629.553
Carbohydrates.Polysaccharides.Oligosaccharides.Trisaccharides,D09.698.629.802
Carbohydrates.Polysaccharides.Oligosaccharides.Trisaccharides.Acarbose,D09.698.629.802.100
Carbohydrates.Polysaccharides.Oligosaccharides.Trisaccharides.Raffinose,D09.698.629.802.700
Carbohydrates.Polysaccharides.Pectins,D09.698.670
Carbohydrates.Polysaccharides.Pentosan Sulfuric Polyester,D09.698.682
Carbohydrates.Polysaccharides.Plant Gums,D09.698.700
