id,value
Macromolecular Substances.Polymers.Plastics.Polyethylenes.Polyethylene,D05.750.716.507.500
Macromolecular Substances.Polymers.Plastics.Polyethylenes.Polyethyleneimine,D05.750.716.507.600
Macromolecular Substances.Polymers.Plastics.Polypropylenes,D05.750.716.550
Macromolecular Substances.Polymers.Plastics.Polystyrenes,D05.750.716.579
Macromolecular Substances.Polymers.Plastics.Polystyrenes.Cholestyramine Resin,D05.750.716.579.159
Macromolecular Substances.Polymers.Plastics.Polyurethanes,D05.750.716.650
Macromolecular Substances.Polymers.Plastics.Polyvinyls,D05.750.716.721
Macromolecular Substances.Polymers.Plastics.Polyvinyls.Polyvinyl Alcohol,D05.750.716.721.616
Macromolecular Substances.Polymers.Plastics.Polyvinyls.Polyvinyl Chloride,D05.750.716.721.812
Macromolecular Substances.Polymers.Plastics.Polyvinyls.Povidone,D05.750.716.721.838
Macromolecular Substances.Polymers.Plastics.Polyvinyls.Povidone.Povidone-Iodine,D05.750.716.721.838.745
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic",D05.750.716.822
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Acrylic Resins",D05.750.716.822.111
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Acrylic Resins.Polymethacrylic Acids",D05.750.716.822.111.650
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Acrylic Resins.Polymethacrylic Acids.Methylmethacrylates",D05.750.716.822.111.650.605
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Acrylic Resins.Polymethacrylic Acids.Methylmethacrylates.Methylmethacrylate",D05.750.716.822.111.650.605.450
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Acrylic Resins.Polymethacrylic Acids.Methylmethacrylates.Polymethyl Methacrylate",D05.750.716.822.111.650.605.500
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Acrylic Resins.Polymethacrylic Acids.Polyhydroxyethyl Methacrylate",D05.750.716.822.111.650.750
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Bone Cements",D05.750.716.822.300
"Macromolecular Substances.Polymers.Plastics.Resins, Synthetic.Composite Resins",D05.750.716.822.308
